year,month,day,week_day,requests
2017,10,6,4,5008686
2017,10,7,5,4880596
2017,10,8,6,3892138
2017,10,9,0,4704762
2017,10,10,1,4594171
2017,10,11,2,4680900
2017,10,12,3,4721735
2017,10,13,4,5048518
2017,10,14,5,4777238
2017,10,15,6,4008159
2017,10,16,0,4513728
2017,10,17,1,4344094
2017,10,18,2,4389734
2017,10,19,3,4323487
2017,10,20,4,4623675
2017,10,21,5,4235116
2017,10,22,6,3270308
2017,10,23,0,4124088
2017,10,24,1,4038368
2017,10,25,2,4161808
2017,10,26,3,4155778
2017,10,27,4,4510317
2017,10,28,5,4194248
2017,10,29,6,3238777
2017,10,30,0,4210325
2017,10,31,1,4067287
2017,11,1,2,3734593
2017,11,2,3,4032306
2017,11,3,4,4358695
2017,11,4,5,3912945
2017,11,5,6,2977198
2017,11,6,0,3996792
2017,11,7,1,3846631
2017,11,8,2,3903061
2017,11,9,3,3900079
2017,11,10,4,4226698
2017,11,11,5,3790972
2017,11,12,6,2947560
2017,11,13,0,3941035
2017,11,14,1,3791253
2017,11,15,2,3871592
2017,11,16,3,3835787
2017,11,17,4,4248072
2017,11,18,5,3696781
2017,11,19,6,2860964
2017,11,20,0,3836370
2017,11,21,1,3719150
2017,11,22,2,3835978
2017,11,23,3,3863116
2017,11,24,4,4342842
2017,11,25,5,3752625
2017,11,26,6,2898377
2017,11,27,0,3910073
2017,11,28,1,3784010
2017,11,29,2,3861469
2017,11,30,3,3966089
2017,12,1,4,4247419
2017,12,2,5,3701171
2017,12,3,6,2870994
2017,12,4,0,3870739
2017,12,5,1,4022893
2017,12,6,2,3895751
2017,12,7,3,3935773
2017,12,8,4,4118441
2017,12,9,5,3538306
2017,12,10,6,2854321
2017,12,11,0,3988076
2017,12,12,1,3833336
2017,12,13,2,3855951
2017,12,14,3,3960113
2017,12,15,4,4081870
2017,12,16,5,3768699
2017,12,17,6,2902843
2017,12,18,0,3911613
2017,12,19,1,3888012
2017,12,20,2,4100907
2017,12,21,3,4258049
2017,12,22,4,4867460
2017,12,23,5,4671379
2017,12,24,6,3281371
2017,12,25,0,3070044
2017,12,26,1,3379329
2017,12,27,2,4080559
2017,12,28,3,3944700
2017,12,29,4,4167273
2017,12,30,5,3818058
2017,12,31,6,3326136
2018,1,1,0,3295453
2018,1,2,1,3612052
2018,1,3,2,3892934
2018,1,4,3,3772694
2018,1,5,4,3971612
2018,1,6,5,3472616
2018,1,7,6,2815776
2018,1,8,0,3760107
2018,1,9,1,3564174
2018,1,10,2,3609335
2018,1,11,3,3539987
2018,1,12,4,3756201
2018,1,13,5,3381066
2018,1,14,6,2623068
2018,1,15,0,3649824
2018,1,16,1,3492543
2018,1,17,2,3547751
2018,1,18,3,3518163
2018,1,19,4,3844498
2018,1,20,5,3292513
2018,1,21,6,2571710
2018,1,22,0,3664914
2018,1,23,1,3612597
2018,1,24,2,3752775
2018,1,25,3,3729029
2018,1,26,4,3949813
2018,1,27,5,3646967
2018,1,28,6,2940264
2018,1,29,0,3890398
2018,1,30,1,3734384
2018,1,31,2,3878880
2018,2,1,3,3757084
2018,2,2,4,4039735
2018,2,3,5,3566625
2018,2,4,6,2895721
2018,2,5,0,3754013
2018,2,6,1,3712840
2018,2,7,2,3793191
2018,2,8,3,3760072
2018,2,9,4,4115528
2018,2,10,5,3709196
2018,2,11,6,2995218
2018,2,12,0,3914778
2018,2,13,1,3800785
2018,2,14,2,2552177
2018,2,15,3,3800497
2018,2,16,4,4073721
2018,2,17,5,3544965
2018,2,18,6,2910381
2018,2,19,0,3768434
2018,2,20,1,3575192
2018,2,21,2,3709778
2018,2,22,3,3670239
2018,2,23,4,3981053
2018,2,24,5,3633312
2018,2,25,6,2822485
2018,2,26,0,3770744
2018,2,27,1,3617344
