year,month,day,week_day,hour,requests
2015,5,5,1,14,74015
2015,5,5,1,15,73423
2015,5,5,1,16,72976
2015,5,5,1,17,56674
2015,5,5,1,18,41661
2015,5,5,1,19,35350
2015,5,5,1,20,29292
2015,5,5,1,21,16037
2015,5,5,1,22,8483
2015,5,5,1,23,4372
2015,5,6,2,0,3712
2015,5,6,2,1,2970
2015,5,6,2,2,2994
2015,5,6,2,3,2880
2015,5,6,2,4,2941
2015,5,6,2,5,2618
2015,5,6,2,6,4155
2015,5,6,2,7,19277
2015,5,6,2,8,59101
2015,5,6,2,9,82206
2015,5,6,2,10,88470
2015,5,6,2,11,80626
2015,5,6,2,12,37699
2015,5,6,2,13,62891
2015,5,6,2,14,71958
2015,5,6,2,15,68571
2015,5,6,2,16,68536
2015,5,6,2,17,53645
2015,5,6,2,18,39933
2015,5,6,2,19,33695
2015,5,6,2,20,48543
2015,5,6,2,21,16110
2015,5,6,2,22,7917
2015,5,6,2,23,4582
2015,5,7,3,0,3684
